timestamp,distance,data source
2026-05-08T12:23:00Z,18.50,Versa 4
2026-05-08T12:25:00Z,9.20,Versa 4
2026-05-08T12:26:00Z,34.20,Versa 4
2026-05-08T12:28:00Z,7.80,Versa 4
2026-05-08T12:29:00Z,16.40,Versa 4
2026-05-08T12:31:00Z,6.40,Versa 4
2026-05-08T12:33:00Z,2.80,Versa 4
2026-05-08T12:34:00Z,4.90,Versa 4
2026-05-08T12:37:00Z,12.80,Versa 4
2026-05-08T12:38:00Z,3.50,Versa 4
2026-05-08T12:39:00Z,4.90,Versa 4
2026-05-08T12:41:00Z,23.50,Versa 4
2026-05-08T12:42:00Z,1.40,Versa 4
2026-05-08T12:43:00Z,5.70,Versa 4
2026-05-08T12:44:00Z,26.40,Versa 4
2026-05-08T12:45:00Z,7.10,Versa 4
2026-05-08T12:47:00Z,11.40,Versa 4
2026-05-08T12:49:00Z,29.90,Versa 4
2026-05-08T12:50:00Z,43.50,Versa 4
2026-05-08T12:51:00Z,41.30,Versa 4
2026-05-08T12:52:00Z,3.50,Versa 4
2026-05-08T12:57:00Z,24.20,Versa 4
2026-05-08T13:02:00Z,5.00,Versa 4
2026-05-08T13:12:00Z,5.70,Versa 4
2026-05-08T13:13:00Z,7.10,Versa 4
2026-05-08T13:16:00Z,42.70,Versa 4
2026-05-08T13:17:00Z,14.20,Versa 4
2026-05-08T13:21:00Z,24.20,Versa 4
2026-05-08T13:22:00Z,17.80,Versa 4
2026-05-08T13:23:00Z,4.90,Versa 4
2026-05-08T13:30:00Z,2.80,Versa 4
2026-05-08T13:34:00Z,25.60,Versa 4
2026-05-08T13:35:00Z,4.20,Versa 4
2026-05-08T13:37:00Z,20.60,Versa 4
2026-05-08T13:40:00Z,34.90,Versa 4
2026-05-08T13:41:00Z,18.50,Versa 4
2026-05-08T13:44:00Z,5.70,Versa 4
2026-05-08T13:45:00Z,2.80,Versa 4
2026-05-08T13:46:00Z,15.70,Versa 4
2026-05-08T13:47:00Z,13.50,Versa 4
2026-05-08T13:48:00Z,19.90,Versa 4
2026-05-08T13:49:00Z,17.80,Versa 4
2026-05-08T13:50:00Z,7.10,Versa 4
2026-05-08T13:51:00Z,29.90,Versa 4
2026-05-08T13:52:00Z,44.20,Versa 4
2026-05-08T13:53:00Z,18.50,Versa 4
2026-05-08T13:55:00Z,8.50,Versa 4
2026-05-08T13:56:00Z,19.90,Versa 4
2026-05-08T13:57:00Z,30.60,Versa 4
2026-05-08T13:58:00Z,19.90,Versa 4
2026-05-08T13:59:00Z,31.30,Versa 4
2026-05-08T14:00:00Z,5.70,Versa 4
2026-05-08T14:01:00Z,26.30,Versa 4
2026-05-08T14:02:00Z,24.20,Versa 4
2026-05-08T14:04:00Z,4.20,Versa 4
2026-05-08T14:05:00Z,5.70,Versa 4
2026-05-08T14:06:00Z,16.40,Versa 4
2026-05-08T14:07:00Z,10.00,Versa 4
2026-05-08T14:08:00Z,6.40,Versa 4
2026-05-08T14:09:00Z,15.00,Versa 4
2026-05-08T14:10:00Z,15.70,Versa 4
2026-05-08T14:11:00Z,12.80,Versa 4
2026-05-08T14:12:00Z,12.80,Versa 4
2026-05-08T14:13:00Z,15.70,Versa 4
2026-05-08T14:14:00Z,28.50,Versa 4
2026-05-08T14:15:00Z,6.40,Versa 4
2026-05-08T14:17:00Z,8.50,Versa 4
2026-05-08T14:18:00Z,14.20,Versa 4
2026-05-08T14:19:00Z,20.70,Versa 4
2026-05-08T14:20:00Z,31.40,Versa 4
2026-05-08T14:21:00Z,21.30,Versa 4
2026-05-08T14:22:00Z,22.80,Versa 4
2026-05-08T14:23:00Z,42.80,Versa 4
2026-05-08T14:24:00Z,49.20,Versa 4
2026-05-08T14:25:00Z,23.50,Versa 4
2026-05-08T14:26:00Z,52.70,Versa 4
2026-05-08T14:27:00Z,29.90,Versa 4
2026-05-08T14:28:00Z,5.00,Versa 4
2026-05-08T14:31:00Z,33.50,Versa 4
2026-05-08T14:32:00Z,22.10,Versa 4
2026-05-08T14:33:00Z,7.80,Versa 4
2026-05-08T14:35:00Z,5.70,Versa 4
2026-05-08T14:36:00Z,37.00,Versa 4
2026-05-08T14:38:00Z,6.40,Versa 4
2026-05-08T14:39:00Z,16.40,Versa 4
2026-05-08T14:41:00Z,9.20,Versa 4
2026-05-08T14:44:00Z,9.90,Versa 4
2026-05-08T14:45:00Z,2.80,Versa 4
2026-05-08T14:46:00Z,21.40,Versa 4
2026-05-08T14:47:00Z,17.10,Versa 4
2026-05-08T14:48:00Z,9.20,Versa 4
2026-05-08T14:51:00Z,20.70,Versa 4
2026-05-08T14:52:00Z,4.20,Versa 4
2026-05-08T14:53:00Z,17.10,Versa 4
2026-05-08T14:54:00Z,9.90,Versa 4
2026-05-08T14:58:00Z,2.80,Versa 4
2026-05-08T14:59:00Z,5.70,Versa 4
2026-05-08T15:00:00Z,13.50,Versa 4
2026-05-08T15:01:00Z,6.40,Versa 4
2026-05-08T15:02:00Z,8.50,Versa 4
2026-05-08T15:06:00Z,24.20,Versa 4
2026-05-08T15:09:00Z,5.00,Versa 4
2026-05-08T15:10:00Z,7.10,Versa 4
2026-05-08T15:11:00Z,32.10,Versa 4
2026-05-08T15:14:00Z,2.80,Versa 4
2026-05-08T15:15:00Z,30.60,Versa 4
2026-05-08T15:16:00Z,19.20,Versa 4
2026-05-08T15:17:00Z,3.50,Versa 4
2026-05-08T15:18:00Z,18.50,Versa 4
2026-05-08T15:19:00Z,12.80,Versa 4
2026-05-08T15:20:00Z,7.80,Versa 4
2026-05-08T15:21:00Z,34.90,Versa 4
2026-05-08T15:24:00Z,4.20,Versa 4
2026-05-08T15:25:00Z,5.00,Versa 4
2026-05-08T15:26:00Z,31.30,Versa 4
2026-05-08T15:27:00Z,24.90,Versa 4
2026-05-08T15:28:00Z,3.50,Versa 4
2026-05-08T15:29:00Z,4.20,Versa 4
2026-05-08T15:31:00Z,7.80,Versa 4
2026-05-08T15:32:00Z,40.60,Versa 4
2026-05-08T15:33:00Z,26.30,Versa 4
2026-05-08T15:34:00Z,38.50,Versa 4
2026-05-08T15:35:00Z,13.50,Versa 4
2026-05-08T15:36:00Z,33.50,Versa 4
2026-05-08T15:37:00Z,52.10,Versa 4
2026-05-08T15:38:00Z,39.20,Versa 4
2026-05-08T15:39:00Z,22.10,Versa 4
2026-05-08T15:40:00Z,6.40,Versa 4
2026-05-08T15:45:00Z,4.20,Versa 4
2026-05-08T15:47:00Z,2.80,Versa 4
2026-05-08T15:48:00Z,5.70,Versa 4
2026-05-08T15:50:00Z,2.80,Versa 4
2026-05-08T15:57:00Z,8.50,Versa 4
2026-05-08T15:58:00Z,21.40,Versa 4
2026-05-08T16:00:00Z,7.80,Versa 4
2026-05-08T16:01:00Z,9.90,Versa 4
2026-05-08T16:02:00Z,9.20,Versa 4
2026-05-08T16:03:00Z,7.10,Versa 4
2026-05-08T16:04:00Z,13.50,Versa 4
2026-05-08T16:05:00Z,43.50,Versa 4
2026-05-08T16:06:00Z,37.80,Versa 4
2026-05-08T16:07:00Z,30.00,Versa 4
2026-05-08T16:08:00Z,9.90,Versa 4
2026-05-08T16:09:00Z,3.50,Versa 4
2026-05-08T16:10:00Z,7.10,Versa 4
2026-05-08T16:11:00Z,5.00,Versa 4
2026-05-08T16:12:00Z,3.50,Versa 4
2026-05-08T16:13:00Z,6.40,Versa 4
2026-05-08T16:14:00Z,9.90,Versa 4
2026-05-08T16:15:00Z,3.50,Versa 4
2026-05-08T16:17:00Z,23.50,Versa 4
2026-05-08T16:18:00Z,5.70,Versa 4
2026-05-08T16:19:00Z,12.80,Versa 4
2026-05-08T16:20:00Z,14.90,Versa 4
2026-05-08T16:22:00Z,28.50,Versa 4
2026-05-08T16:23:00Z,27.80,Versa 4
2026-05-08T16:26:00Z,20.70,Versa 4
2026-05-08T16:27:00Z,6.40,Versa 4
2026-05-08T16:28:00Z,7.10,Versa 4
2026-05-08T16:30:00Z,9.20,Versa 4
2026-05-08T16:31:00Z,5.70,Versa 4
2026-05-08T16:32:00Z,38.50,Versa 4
2026-05-08T16:33:00Z,44.20,Versa 4
2026-05-08T16:34:00Z,30.00,Versa 4
2026-05-08T16:35:00Z,12.10,Versa 4
2026-05-08T16:38:00Z,14.90,Versa 4
2026-05-08T16:39:00Z,37.80,Versa 4
2026-05-08T16:40:00Z,15.60,Versa 4
2026-05-08T16:41:00Z,2.80,Versa 4
2026-05-08T16:43:00Z,3.50,Versa 4
2026-05-08T16:44:00Z,24.90,Versa 4
2026-05-08T16:45:00Z,10.70,Versa 4
2026-05-08T16:46:00Z,14.90,Versa 4
2026-05-08T16:48:00Z,12.80,Versa 4
2026-05-08T16:49:00Z,14.20,Versa 4
2026-05-08T16:50:00Z,4.90,Versa 4
2026-05-08T16:52:00Z,11.40,Versa 4
2026-05-08T16:54:00Z,20.60,Versa 4
2026-05-08T16:55:00Z,31.40,Versa 4
2026-05-08T16:56:00Z,24.90,Versa 4
2026-05-08T16:57:00Z,19.90,Versa 4
2026-05-08T16:58:00Z,19.20,Versa 4
2026-05-08T16:59:00Z,13.50,Versa 4
2026-05-08T17:01:00Z,35.60,Versa 4
2026-05-08T17:02:00Z,33.50,Versa 4
2026-05-08T17:04:00Z,12.10,Versa 4
2026-05-08T17:05:00Z,3.50,Versa 4
2026-05-08T17:06:00Z,2.80,Versa 4
2026-05-08T17:08:00Z,17.80,Versa 4
2026-05-08T17:09:00Z,12.10,Versa 4
2026-05-08T17:10:00Z,5.70,Versa 4
2026-05-08T17:11:00Z,21.40,Versa 4
2026-05-08T17:12:00Z,5.70,Versa 4
2026-05-08T17:13:00Z,23.50,Versa 4
2026-05-08T17:14:00Z,16.40,Versa 4
2026-05-08T17:15:00Z,14.20,Versa 4
2026-05-08T17:24:00Z,29.90,Versa 4
2026-05-08T17:26:00Z,2.80,Versa 4
2026-05-08T17:31:00Z,4.20,Versa 4
2026-05-08T17:33:00Z,22.80,Versa 4
2026-05-08T17:34:00Z,22.10,Versa 4
2026-05-08T17:35:00Z,24.20,Versa 4
2026-05-08T17:36:00Z,9.90,Versa 4
2026-05-08T17:41:00Z,15.70,Versa 4
2026-05-08T17:42:00Z,6.40,Versa 4
2026-05-08T17:44:00Z,24.20,Versa 4
2026-05-08T17:45:00Z,2.80,Versa 4
2026-05-08T17:50:00Z,48.50,Versa 4
2026-05-08T17:51:00Z,76.30,Versa 4
2026-05-08T17:52:00Z,74.20,Versa 4
2026-05-08T17:53:00Z,55.60,Versa 4
2026-05-08T17:54:00Z,55.60,Versa 4
2026-05-08T17:55:00Z,40.60,Versa 4
2026-05-08T17:56:00Z,38.50,Versa 4
2026-05-08T17:57:00Z,36.30,Versa 4
2026-05-08T17:58:00Z,22.00,Versa 4
2026-05-08T17:59:00Z,42.80,Versa 4
2026-05-08T18:00:00Z,24.90,Versa 4
2026-05-08T18:01:00Z,28.50,Versa 4
2026-05-08T18:02:00Z,32.10,Versa 4
2026-05-08T18:03:00Z,35.60,Versa 4
2026-05-08T18:04:00Z,39.90,Versa 4
2026-05-08T18:05:00Z,44.90,Versa 4
2026-05-08T18:06:00Z,44.90,Versa 4
2026-05-08T18:08:00Z,2.80,Versa 4
2026-05-08T18:09:00Z,22.80,Versa 4
2026-05-08T18:10:00Z,44.20,Versa 4
2026-05-08T18:11:00Z,20.60,Versa 4
2026-05-08T18:12:00Z,32.80,Versa 4
2026-05-08T18:13:00Z,29.20,Versa 4
2026-05-08T18:14:00Z,18.50,Versa 4
2026-05-08T18:15:00Z,12.10,Versa 4
2026-05-08T18:16:00Z,29.20,Versa 4
2026-05-08T18:17:00Z,14.20,Versa 4
2026-05-08T18:18:00Z,2.80,Versa 4
2026-05-08T18:27:00Z,4.20,Versa 4
2026-05-08T18:35:00Z,26.30,Versa 4
2026-05-08T18:36:00Z,8.50,Versa 4
2026-05-08T18:37:00Z,12.10,Versa 4
2026-05-08T18:38:00Z,22.10,Versa 4
2026-05-08T18:39:00Z,7.10,Versa 4
2026-05-08T18:46:00Z,8.50,Versa 4
2026-05-08T18:53:00Z,7.10,Versa 4
2026-05-08T18:54:00Z,5.00,Versa 4
2026-05-08T18:56:00Z,27.10,Versa 4
2026-05-08T18:57:00Z,3.50,Versa 4
2026-05-08T19:00:00Z,14.90,Versa 4
2026-05-08T19:01:00Z,10.60,Versa 4
2026-05-08T19:05:00Z,22.80,Versa 4
2026-05-08T19:06:00Z,4.90,Versa 4
2026-05-08T19:07:00Z,17.80,Versa 4
2026-05-08T19:08:00Z,3.50,Versa 4
2026-05-08T19:10:00Z,32.80,Versa 4
2026-05-08T19:14:00Z,2.80,Versa 4
2026-05-08T19:15:00Z,35.60,Versa 4
2026-05-08T19:16:00Z,15.70,Versa 4
2026-05-08T19:17:00Z,16.40,Versa 4
2026-05-08T19:21:00Z,26.40,Versa 4
2026-05-08T19:22:00Z,4.90,Versa 4
2026-05-08T19:26:00Z,20.00,Versa 4
2026-05-08T19:27:00Z,25.60,Versa 4
2026-05-08T19:28:00Z,8.50,Versa 4
2026-05-08T19:29:00Z,20.60,Versa 4
2026-05-08T19:30:00Z,14.20,Versa 4
2026-05-08T19:33:00Z,28.50,Versa 4
2026-05-08T19:36:00Z,7.80,Versa 4
2026-05-08T19:37:00Z,42.80,Versa 4
2026-05-08T19:38:00Z,10.70,Versa 4
2026-05-08T19:41:00Z,27.10,Versa 4
2026-05-08T19:43:00Z,16.40,Versa 4
2026-05-08T19:44:00Z,17.10,Versa 4
2026-05-08T19:45:00Z,17.80,Versa 4
2026-05-08T19:46:00Z,18.50,Versa 4
2026-05-08T19:48:00Z,7.10,Versa 4
2026-05-08T19:49:00Z,35.60,Versa 4
2026-05-08T19:50:00Z,42.80,Versa 4
2026-05-08T19:52:00Z,8.50,Versa 4
2026-05-08T19:53:00Z,9.90,Versa 4
2026-05-08T19:54:00Z,4.20,Versa 4
2026-05-08T19:59:00Z,13.50,Versa 4
2026-05-08T20:00:00Z,10.70,Versa 4
2026-05-08T20:01:00Z,5.70,Versa 4
