timestamp,level,data source
2026-06-02T15:21:00Z,SEDENTARY,Fitbit App
2026-06-02T15:22:00Z,SEDENTARY,Fitbit App
2026-06-02T15:23:00Z,SEDENTARY,Fitbit App
2026-06-02T15:24:00Z,SEDENTARY,Fitbit App
2026-06-02T15:25:00Z,SEDENTARY,Fitbit App
2026-06-02T15:26:00Z,SEDENTARY,Fitbit App
2026-06-02T15:27:00Z,SEDENTARY,Fitbit App
2026-06-02T15:28:00Z,SEDENTARY,Fitbit App
2026-06-02T15:29:00Z,SEDENTARY,Fitbit App
2026-06-02T15:30:00Z,SEDENTARY,Fitbit App
2026-06-02T15:31:00Z,SEDENTARY,Fitbit App
2026-06-02T15:32:00Z,SEDENTARY,Fitbit App
2026-06-02T15:33:00Z,SEDENTARY,Fitbit App
2026-06-02T15:34:00Z,SEDENTARY,Fitbit App
2026-06-02T15:35:00Z,SEDENTARY,Fitbit App
2026-06-02T15:36:00Z,SEDENTARY,Fitbit App
2026-06-02T15:37:00Z,SEDENTARY,Fitbit App
2026-06-02T15:38:00Z,SEDENTARY,Fitbit App
2026-06-02T15:39:00Z,SEDENTARY,Fitbit App
2026-06-02T15:40:00Z,SEDENTARY,Fitbit App
2026-06-02T15:41:00Z,SEDENTARY,Fitbit App
2026-06-02T15:42:00Z,SEDENTARY,Fitbit App
2026-06-02T15:43:00Z,SEDENTARY,Fitbit App
2026-06-02T15:44:00Z,SEDENTARY,Fitbit App
2026-06-02T15:45:00Z,SEDENTARY,Fitbit App
2026-06-02T15:46:00Z,SEDENTARY,Fitbit App
2026-06-02T15:47:00Z,SEDENTARY,Fitbit App
2026-06-02T15:48:00Z,SEDENTARY,Fitbit App
2026-06-02T15:49:00Z,SEDENTARY,Fitbit App
2026-06-02T15:50:00Z,SEDENTARY,Fitbit App
2026-06-02T15:51:00Z,SEDENTARY,Fitbit App
2026-06-02T15:52:00Z,SEDENTARY,Fitbit App
2026-06-02T15:53:00Z,SEDENTARY,Fitbit App
2026-06-02T15:54:00Z,SEDENTARY,Fitbit App
2026-06-02T15:55:00Z,SEDENTARY,Fitbit App
2026-06-02T15:56:00Z,SEDENTARY,Fitbit App
2026-06-02T15:57:00Z,SEDENTARY,Fitbit App
2026-06-02T15:58:00Z,SEDENTARY,Fitbit App
2026-06-02T15:59:00Z,SEDENTARY,Fitbit App
2026-06-02T16:00:00Z,SEDENTARY,Fitbit App
2026-06-02T16:01:00Z,SEDENTARY,Fitbit App
2026-06-02T16:02:00Z,SEDENTARY,Fitbit App
2026-06-02T16:03:00Z,SEDENTARY,Fitbit App
2026-06-02T16:04:00Z,SEDENTARY,Fitbit App
2026-06-02T16:05:00Z,SEDENTARY,Fitbit App
2026-06-02T16:06:00Z,SEDENTARY,Fitbit App
2026-06-02T16:07:00Z,SEDENTARY,Fitbit App
2026-06-02T16:08:00Z,SEDENTARY,Fitbit App
2026-06-02T16:09:00Z,SEDENTARY,Fitbit App
2026-06-02T16:10:00Z,SEDENTARY,Fitbit App
2026-06-02T16:11:00Z,SEDENTARY,Fitbit App
2026-06-02T16:12:00Z,SEDENTARY,Fitbit App
2026-06-02T16:13:00Z,SEDENTARY,Fitbit App
2026-06-02T16:14:00Z,SEDENTARY,Fitbit App
2026-06-02T16:15:00Z,SEDENTARY,Fitbit App
2026-06-02T16:16:00Z,SEDENTARY,Fitbit App
2026-06-02T16:17:00Z,SEDENTARY,Fitbit App
2026-06-02T16:18:00Z,SEDENTARY,Fitbit App
2026-06-02T16:19:00Z,SEDENTARY,Fitbit App
2026-06-02T16:20:00Z,SEDENTARY,Fitbit App
2026-06-02T16:21:00Z,SEDENTARY,Fitbit App
2026-06-02T16:22:00Z,SEDENTARY,Fitbit App
2026-06-02T16:23:00Z,SEDENTARY,Fitbit App
2026-06-02T16:24:00Z,SEDENTARY,Fitbit App
2026-06-02T16:25:00Z,SEDENTARY,Fitbit App
2026-06-02T16:27:00Z,SEDENTARY,Fitbit App
2026-06-02T16:30:00Z,SEDENTARY,Fitbit App
2026-06-02T16:31:00Z,SEDENTARY,Fitbit App
2026-06-02T16:33:00Z,SEDENTARY,Fitbit App
2026-06-02T16:34:00Z,SEDENTARY,Fitbit App
2026-06-02T16:35:00Z,SEDENTARY,Fitbit App
2026-06-02T16:36:00Z,SEDENTARY,Fitbit App
2026-06-02T16:37:00Z,SEDENTARY,Fitbit App
2026-06-02T16:38:00Z,SEDENTARY,Fitbit App
2026-06-02T16:39:00Z,SEDENTARY,Fitbit App
2026-06-02T16:40:00Z,SEDENTARY,Fitbit App
2026-06-02T16:41:00Z,SEDENTARY,Fitbit App
2026-06-02T16:42:00Z,SEDENTARY,Fitbit App
2026-06-02T16:43:00Z,SEDENTARY,Fitbit App
2026-06-02T16:44:00Z,SEDENTARY,Fitbit App
2026-06-02T16:47:00Z,SEDENTARY,Fitbit App
2026-06-02T16:48:00Z,SEDENTARY,Fitbit App
2026-06-02T16:50:00Z,SEDENTARY,Fitbit App
2026-06-02T16:51:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T16:52:00Z,SEDENTARY,Fitbit App
2026-06-02T16:53:00Z,SEDENTARY,Fitbit App
2026-06-02T16:54:00Z,SEDENTARY,Fitbit App
2026-06-02T16:55:00Z,SEDENTARY,Fitbit App
2026-06-02T16:56:00Z,SEDENTARY,Fitbit App
2026-06-02T16:57:00Z,SEDENTARY,Fitbit App
2026-06-02T16:58:00Z,SEDENTARY,Fitbit App
2026-06-02T16:59:00Z,SEDENTARY,Fitbit App
2026-06-02T17:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T17:01:00Z,SEDENTARY,Fitbit App
2026-06-02T17:02:00Z,SEDENTARY,Fitbit App
2026-06-02T17:03:00Z,SEDENTARY,Fitbit App
2026-06-02T17:30:00Z,SEDENTARY,Fitbit App
2026-06-02T17:31:00Z,SEDENTARY,Fitbit App
2026-06-02T17:32:00Z,SEDENTARY,Fitbit App
2026-06-02T17:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T17:34:00Z,SEDENTARY,Fitbit App
2026-06-02T17:38:00Z,SEDENTARY,Fitbit App
2026-06-02T17:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T17:42:00Z,SEDENTARY,Fitbit App
2026-06-02T17:43:00Z,SEDENTARY,Fitbit App
2026-06-02T17:44:00Z,SEDENTARY,Fitbit App
2026-06-02T17:45:00Z,SEDENTARY,Fitbit App
2026-06-02T17:46:00Z,SEDENTARY,Fitbit App
2026-06-02T17:47:00Z,SEDENTARY,Fitbit App
2026-06-02T17:49:00Z,SEDENTARY,Fitbit App
2026-06-02T17:53:00Z,SEDENTARY,Fitbit App
2026-06-02T17:55:00Z,SEDENTARY,Fitbit App
2026-06-02T18:00:00Z,SEDENTARY,Fitbit App
2026-06-02T18:04:00Z,SEDENTARY,Fitbit App
2026-06-02T18:06:00Z,SEDENTARY,Fitbit App
2026-06-02T18:07:00Z,SEDENTARY,Fitbit App
2026-06-02T18:08:00Z,SEDENTARY,Fitbit App
2026-06-02T18:09:00Z,SEDENTARY,Fitbit App
2026-06-02T18:10:00Z,SEDENTARY,Fitbit App
2026-06-02T18:11:00Z,SEDENTARY,Fitbit App
2026-06-02T18:12:00Z,SEDENTARY,Fitbit App
2026-06-02T18:13:00Z,SEDENTARY,Fitbit App
2026-06-02T18:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T18:15:00Z,SEDENTARY,Fitbit App
2026-06-02T18:16:00Z,SEDENTARY,Fitbit App
2026-06-02T18:17:00Z,SEDENTARY,Fitbit App
2026-06-02T18:18:00Z,SEDENTARY,Fitbit App
2026-06-02T18:19:00Z,SEDENTARY,Fitbit App
2026-06-02T18:20:00Z,SEDENTARY,Fitbit App
2026-06-02T18:21:00Z,SEDENTARY,Fitbit App
2026-06-02T18:22:00Z,SEDENTARY,Fitbit App
2026-06-02T18:23:00Z,SEDENTARY,Fitbit App
2026-06-02T18:24:00Z,SEDENTARY,Fitbit App
2026-06-02T18:25:00Z,SEDENTARY,Fitbit App
2026-06-02T18:26:00Z,SEDENTARY,Fitbit App
2026-06-02T18:27:00Z,SEDENTARY,Fitbit App
2026-06-02T18:28:00Z,SEDENTARY,Fitbit App
2026-06-02T18:29:00Z,SEDENTARY,Fitbit App
2026-06-02T18:30:00Z,SEDENTARY,Fitbit App
2026-06-02T18:31:00Z,SEDENTARY,Fitbit App
2026-06-02T18:32:00Z,SEDENTARY,Fitbit App
2026-06-02T18:33:00Z,SEDENTARY,Fitbit App
2026-06-02T18:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T18:35:00Z,SEDENTARY,Fitbit App
2026-06-02T18:36:00Z,SEDENTARY,Fitbit App
2026-06-02T18:37:00Z,SEDENTARY,Fitbit App
2026-06-02T18:38:00Z,SEDENTARY,Fitbit App
2026-06-02T18:39:00Z,SEDENTARY,Fitbit App
2026-06-02T18:40:00Z,SEDENTARY,Fitbit App
2026-06-02T18:41:00Z,SEDENTARY,Fitbit App
2026-06-02T18:42:00Z,SEDENTARY,Fitbit App
2026-06-02T18:43:00Z,SEDENTARY,Fitbit App
2026-06-02T18:44:00Z,SEDENTARY,Fitbit App
2026-06-02T18:45:00Z,SEDENTARY,Fitbit App
2026-06-02T18:46:00Z,SEDENTARY,Fitbit App
2026-06-02T18:47:00Z,SEDENTARY,Fitbit App
2026-06-02T18:48:00Z,SEDENTARY,Fitbit App
2026-06-02T18:49:00Z,SEDENTARY,Fitbit App
2026-06-02T18:50:00Z,SEDENTARY,Fitbit App
2026-06-02T18:51:00Z,SEDENTARY,Fitbit App
2026-06-02T18:52:00Z,SEDENTARY,Fitbit App
2026-06-02T18:53:00Z,SEDENTARY,Fitbit App
2026-06-02T18:54:00Z,SEDENTARY,Fitbit App
2026-06-02T18:55:00Z,SEDENTARY,Fitbit App
2026-06-02T18:56:00Z,SEDENTARY,Fitbit App
2026-06-02T18:57:00Z,SEDENTARY,Fitbit App
2026-06-02T18:58:00Z,SEDENTARY,Fitbit App
2026-06-02T18:59:00Z,SEDENTARY,Fitbit App
2026-06-02T19:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:01:00Z,SEDENTARY,Fitbit App
2026-06-02T19:02:00Z,SEDENTARY,Fitbit App
2026-06-02T19:03:00Z,SEDENTARY,Fitbit App
2026-06-02T19:04:00Z,SEDENTARY,Fitbit App
2026-06-02T19:05:00Z,SEDENTARY,Fitbit App
2026-06-02T19:06:00Z,SEDENTARY,Fitbit App
2026-06-02T19:07:00Z,SEDENTARY,Fitbit App
2026-06-02T19:08:00Z,SEDENTARY,Fitbit App
2026-06-02T19:09:00Z,SEDENTARY,Fitbit App
2026-06-02T19:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:11:00Z,SEDENTARY,Fitbit App
2026-06-02T19:12:00Z,SEDENTARY,Fitbit App
2026-06-02T19:13:00Z,SEDENTARY,Fitbit App
2026-06-02T19:14:00Z,SEDENTARY,Fitbit App
2026-06-02T19:15:00Z,SEDENTARY,Fitbit App
2026-06-02T19:16:00Z,SEDENTARY,Fitbit App
2026-06-02T19:17:00Z,SEDENTARY,Fitbit App
2026-06-02T19:18:00Z,SEDENTARY,Fitbit App
2026-06-02T19:19:00Z,SEDENTARY,Fitbit App
2026-06-02T19:20:00Z,SEDENTARY,Fitbit App
2026-06-02T19:21:00Z,SEDENTARY,Fitbit App
2026-06-02T19:22:00Z,SEDENTARY,Fitbit App
2026-06-02T19:23:00Z,SEDENTARY,Fitbit App
2026-06-02T19:24:00Z,SEDENTARY,Fitbit App
2026-06-02T19:25:00Z,SEDENTARY,Fitbit App
2026-06-02T19:26:00Z,SEDENTARY,Fitbit App
2026-06-02T19:27:00Z,SEDENTARY,Fitbit App
2026-06-02T19:28:00Z,SEDENTARY,Fitbit App
2026-06-02T19:29:00Z,SEDENTARY,Fitbit App
2026-06-02T19:30:00Z,SEDENTARY,Fitbit App
2026-06-02T19:31:00Z,SEDENTARY,Fitbit App
2026-06-02T19:32:00Z,SEDENTARY,Fitbit App
2026-06-02T19:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:35:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:36:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:37:00Z,SEDENTARY,Fitbit App
2026-06-02T19:38:00Z,SEDENTARY,Fitbit App
2026-06-02T19:39:00Z,SEDENTARY,Fitbit App
2026-06-02T19:40:00Z,SEDENTARY,Fitbit App
2026-06-02T19:41:00Z,SEDENTARY,Fitbit App
2026-06-02T19:42:00Z,SEDENTARY,Fitbit App
2026-06-02T19:43:00Z,SEDENTARY,Fitbit App
2026-06-02T19:44:00Z,SEDENTARY,Fitbit App
2026-06-02T19:45:00Z,SEDENTARY,Fitbit App
2026-06-02T19:46:00Z,SEDENTARY,Fitbit App
2026-06-02T19:47:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:48:00Z,SEDENTARY,Fitbit App
2026-06-02T19:49:00Z,SEDENTARY,Fitbit App
2026-06-02T19:50:00Z,SEDENTARY,Fitbit App
2026-06-02T19:51:00Z,SEDENTARY,Fitbit App
2026-06-02T19:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T19:53:00Z,SEDENTARY,Fitbit App
2026-06-02T19:55:00Z,SEDENTARY,Fitbit App
2026-06-02T19:56:00Z,SEDENTARY,Fitbit App
2026-06-02T19:57:00Z,SEDENTARY,Fitbit App
2026-06-02T19:58:00Z,SEDENTARY,Fitbit App
2026-06-02T19:59:00Z,SEDENTARY,Fitbit App
2026-06-02T20:00:00Z,SEDENTARY,Fitbit App
2026-06-02T20:01:00Z,SEDENTARY,Fitbit App
2026-06-02T20:02:00Z,SEDENTARY,Fitbit App
