timestamp,gain,data source
2026-06-05T18:12:00Z,3048,Versa 4
2026-06-05T19:16:00Z,3048,Versa 4
2026-06-05T19:58:00Z,3048,Versa 4
2026-06-05T20:02:00Z,3048,Versa 4
2026-06-05T20:14:00Z,3048,Versa 4
2026-06-05T20:18:00Z,3048,Versa 4
2026-06-05T20:26:00Z,3048,Versa 4
2026-06-05T21:34:00Z,6096,Versa 4
2026-06-05T21:42:00Z,3048,Versa 4
2026-06-05T22:50:00Z,3048,Versa 4
2026-06-05T22:52:00Z,6096,Versa 4
2026-06-05T23:02:00Z,3048,Versa 4
2026-06-05T23:10:00Z,3048,Versa 4
2026-06-06T09:24:00Z,3048,Versa 4
2026-06-06T09:30:00Z,6096,Versa 4
2026-06-06T09:31:00Z,6096,Versa 4
2026-06-06T09:32:00Z,6096,Versa 4
2026-06-06T09:33:00Z,6096,Versa 4
2026-06-06T09:34:00Z,3048,Versa 4
2026-06-06T09:35:00Z,3048,Versa 4
2026-06-06T09:38:00Z,9144,Versa 4
2026-06-06T09:46:00Z,3048,Versa 4
2026-06-06T09:47:00Z,6096,Versa 4
2026-06-06T09:50:00Z,3048,Versa 4
2026-06-06T09:54:00Z,3048,Versa 4
2026-06-06T10:15:00Z,3048,Versa 4
2026-06-06T10:16:00Z,6096,Versa 4
2026-06-06T11:11:00Z,3048,Versa 4
2026-06-06T11:16:00Z,3048,Versa 4
2026-06-06T11:20:00Z,9144,Versa 4
2026-06-06T11:42:00Z,3048,Versa 4
2026-06-06T11:44:00Z,3048,Versa 4
2026-06-06T11:45:00Z,6096,Versa 4
2026-06-06T15:34:00Z,3048,Versa 4
2026-06-06T18:00:00Z,3048,Versa 4
2026-06-06T18:56:00Z,3048,Versa 4
2026-06-06T21:21:00Z,3048,Versa 4
2026-06-06T21:23:00Z,3048,Versa 4
2026-06-07T10:52:00Z,3048,Versa 4
2026-06-07T10:53:00Z,3048,Versa 4
2026-06-07T10:56:00Z,3048,Versa 4
2026-06-07T10:57:00Z,3048,Versa 4
2026-06-07T11:04:00Z,6096,Versa 4
2026-06-07T11:12:00Z,9144,Versa 4
2026-06-07T11:13:00Z,6096,Versa 4
2026-06-07T11:59:00Z,6096,Versa 4
2026-06-07T12:03:00Z,6096,Versa 4
2026-06-07T12:12:00Z,3048,Versa 4
2026-06-07T12:18:00Z,3048,Versa 4
2026-06-07T12:19:00Z,3048,Versa 4
2026-06-07T12:20:00Z,3048,Versa 4
2026-06-07T12:21:00Z,3048,Versa 4
2026-06-07T12:22:00Z,6096,Versa 4
2026-06-07T12:23:00Z,3048,Versa 4
2026-06-07T12:31:00Z,3048,Versa 4
2026-06-07T12:33:00Z,3048,Versa 4
2026-06-07T12:53:00Z,3048,Versa 4
2026-06-07T12:54:00Z,12192,Versa 4
2026-06-07T12:56:00Z,3048,Versa 4
2026-06-07T12:57:00Z,6096,Versa 4
2026-06-07T12:59:00Z,3048,Versa 4
2026-06-07T13:00:00Z,6096,Versa 4
2026-06-07T13:35:00Z,3048,Versa 4
2026-06-07T13:39:00Z,3048,Versa 4
2026-06-07T14:19:00Z,3048,Versa 4
2026-06-07T14:24:00Z,3048,Versa 4
2026-06-07T14:30:00Z,3048,Versa 4
2026-06-07T19:48:00Z,3048,Versa 4
2026-06-07T20:47:00Z,3048,Versa 4
2026-06-07T23:39:00Z,3048,Versa 4
2026-06-08T10:54:00Z,3048,Versa 4
2026-06-08T10:57:00Z,3048,Versa 4
2026-06-08T10:58:00Z,15240,Versa 4
2026-06-08T10:59:00Z,3048,Versa 4
2026-06-08T11:00:00Z,12192,Versa 4
2026-06-08T11:01:00Z,3048,Versa 4
2026-06-08T11:02:00Z,9144,Versa 4
